trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
0	flowers_purple_centers_or_orange_stems_with_thorns	development	0134-94ec2fd6-e1d8-439a-8440-b14b6647d7b0	1554304870626	listener	flower-center_color-purple	flower-center_color-white	flower-petals_color-white	target	23303	clickedObj
1	flowers_purple_stems_white_petals_or_orange_centers	development	0134-94ec2fd6-e1d8-439a-8440-b14b6647d7b0	1554304892886	listener	flower-petals_color-white	flower-center_color-purple	flower-center_color-white	target	19148	clickedObj
2	bugs_orange_antennae_or_wings	development	0134-94ec2fd6-e1d8-439a-8440-b14b6647d7b0	1554304918894	listener	bug-antennae_color-orange	bug-bug_wings_color-orange	bug-antennae_present-true	target	22839	clickedObj
3	birds_orange_tails_or_white_wings_orange_crests	development	0134-94ec2fd6-e1d8-439a-8440-b14b6647d7b0	1554304943168	listener	bird-crest_tail_color-orange	bird-crest_tail_color-white	bird-tail_present-false	target	21161	clickedObj
4	trees_orange_trunks_or_berries_white_leaves	development	0134-94ec2fd6-e1d8-439a-8440-b14b6647d7b0	1554304961526	listener	tree-leaves_present	tree-berries_color-orange	tree-leaves_present-false	target	15179	clickedObj
5	fish_orange_bodies_or_fangs_whiskers	development	0134-94ec2fd6-e1d8-439a-8440-b14b6647d7b0	1554305010475	listener	fish-fangs_present	fish-fangs_present-true	fish-stripes_color-orange	distr1	45781	clickedObj
6	birds_purple_wings_white_crests_or_white_tails	development	0134-94ec2fd6-e1d8-439a-8440-b14b6647d7b0	1554305032487	listener	bird-crest_tail_color-white	bird-tail_present-true	bird-bird_wing_color-purple	target	18904	clickedObj
7	birds_purple_tails	development	0134-94ec2fd6-e1d8-439a-8440-b14b6647d7b0	1554305050281	listener	bird-crest_tail_color-purple	bird-bird_wing_color-orange	bird-bird_wing_color-white	target	14691	clickedObj
8	fish_white_stripes_or_purple_bodies_whiskers	development	0134-94ec2fd6-e1d8-439a-8440-b14b6647d7b0	1554305076301	listener	fish-body_color-purple	fish-stripes_color-purple	fish-whiskers_present-false	target	22829	clickedObj
9	birds_purple_wings_white_crests_or_white_tails	development	0134-94ec2fd6-e1d8-439a-8440-b14b6647d7b0	1554305101108	listener	bird-crest_present	bird-crest_present-false	bird-tail_present-false	target	21637	clickedObj
